Row,Day,Day.Of.Week,Date,Page.Loads,Unique.Visits,First.Time.Visits,Returning.Visits,ds,y
1,Sunday,1,2014-09-14,"2,146","1,582","1,430",152,2014-09-14,2146
2,Monday,2,2014-09-15,"3,621","2,528","2,297",231,2014-09-15,3621
3,Tuesday,3,2014-09-16,"3,698","2,630","2,352",278,2014-09-16,3698
4,Wednesday,4,2014-09-17,"3,667","2,614","2,327",287,2014-09-17,3667
5,Thursday,5,2014-09-18,"3,316","2,366","2,130",236,2014-09-18,3316
6,Friday,6,2014-09-19,"2,815","1,863","1,622",241,2014-09-19,2815
7,Saturday,7,2014-09-20,"1,658","1,118",985,133,2014-09-20,1658
8,Sunday,1,2014-09-21,"2,288","1,656","1,481",175,2014-09-21,2288
9,Monday,2,2014-09-22,"3,638","2,586","2,312",274,2014-09-22,3638
10,Tuesday,3,2014-09-23,"4,462","3,257","2,989",268,2014-09-23,4462
11,Wednesday,4,2014-09-24,"4,414","3,175","2,891",284,2014-09-24,4414
12,Thursday,5,2014-09-25,"4,315","3,029","2,743",286,2014-09-25,4315
13,Friday,6,2014-09-26,"3,323","2,249","2,033",216,2014-09-26,3323
14,Saturday,7,2014-09-27,"1,656","1,180","1,040",140,2014-09-27,1656
15,Sunday,1,2014-09-28,"2,465","1,806","1,613",193,2014-09-28,2465
16,Monday,2,2014-09-29,"4,096","2,873","2,577",296,2014-09-29,4096
17,Tuesday,3,2014-09-30,"4,474","3,032","2,720",312,2014-09-30,4474
18,Wednesday,4,2014-10-01,"4,124","2,849","2,541",308,2014-10-01,4124
19,Thursday,5,2014-10-02,"3,514","2,489","2,239",250,2014-10-02,3514
20,Friday,6,2014-10-03,"3,005","2,097","1,856",241,2014-10-03,3005
21,Saturday,7,2014-10-04,"2,054","1,436","1,274",162,2014-10-04,2054
22,Sunday,1,2014-10-05,"2,847","1,913","1,713",200,2014-10-05,2847
23,Monday,2,2014-10-06,"4,501","3,181","2,853",328,2014-10-06,4501
24,Tuesday,3,2014-10-07,"4,603","3,163","2,804",359,2014-10-07,4603
25,Wednesday,4,2014-10-08,"4,187","3,014","2,663",351,2014-10-08,4187
26,Thursday,5,2014-10-09,"4,343","2,864","2,545",319,2014-10-09,4343
27,Friday,6,2014-10-10,"3,565","2,382","2,100",282,2014-10-10,3565
28,Saturday,7,2014-10-11,"2,080","1,457","1,280",177,2014-10-11,2080
29,Sunday,1,2014-10-12,"3,031","2,089","1,856",233,2014-10-12,3031
30,Monday,2,2014-10-13,"4,814","3,339","2,973",366,2014-10-13,4814
